"hosname","amprhcode","pdx","diease"
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L600,4
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L708,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L819,5
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M109,9
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M17,7
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M170,18
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M179,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M179,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M512,13
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M519,8
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M542,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M545,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M6098,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M6205,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M6206,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M626,123
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M626,5
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M6264,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M6265,9
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,M65,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M653,9
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,M658,3
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M75,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M765,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M766,15
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M769,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M791,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M791,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M7911,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M7918,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M7919,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M7919,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M792,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M792,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M7971,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,N300,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,N300,14
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,N309,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,N309,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,N61,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,N750,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,N809,3
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,N926,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,N939,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,N951,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,R002,10
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,R011,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,R05,8
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R05,5
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R05,6
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,R103,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,R104,6
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,R1049,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,R11,5
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,R21,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R35,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,R42,200
คลินิกเวชกรรมใกล้บ้านใกล้ใจ 22,เขตบางซื่อ,R42,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,R42,16
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R42,29
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R440,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,R448,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R500,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R501,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,R509,69
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,R509,16
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R509,5
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,R51,19
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,R53,8
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R53,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R55,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R590,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,R591,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R600,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R609,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R682,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,R731,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,R91,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,U099,4
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z001,32
คลินิกเวชกรรมใกล้บ้านใกล้ใจ 22,เขตบางซื่อ,Z008,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z010,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,Z016,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z016,6
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z017,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,Z017,7
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z017,55
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z018,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z024,6
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z027,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z038,51
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,Z099,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z111,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z124,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,Z201,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z238,60
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z242,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z243,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z251,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z274,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z304,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z320,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z33,21
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z418,96
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z418,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z48,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,Z480,525
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z480,363
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z480,160
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z713,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z718,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z719,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,Z719,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,Z725,29
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,Z751,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,B354,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,A049,7
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,A049,15
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,A049,5
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,A059,14
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,A059,3
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,A081,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,A081,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,A099,63
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,A099,7
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,A099,8
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,A150,8
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,A150,82
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,A160,27
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,A519,36
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,A549,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,A829,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,B001,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,B01,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,B084,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,B084,6
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,B088,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,B351,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,B378,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,C61,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,D229,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,D649,41
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,E041,1
คลินิกเวชกรรมใกล้บ้านใกล้ใจ 22,เขตบางซื่อ,E050,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,E059,13
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,E109,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,E114,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,E119,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,E119,200
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,E780,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,E785,151
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,E785,38
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,E785,125
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,E788,105
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,E789,16
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F000,6
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F1123,34
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,F150,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F151,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,F152,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,F1625,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F200,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F205,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,F209,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F2090,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F311,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F320,6
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,F329,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F410,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,F411,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F411,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F412,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F419,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F4322,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,F510,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F900,25
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,F909,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,G309,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,G309,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,G409,3
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,G439,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,G470,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,G560,6
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,G723,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,G729,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,G822,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,H00,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,H040,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,H10,8
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,H100,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H103,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,H104,20
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,H109,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H109,6
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,H113,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,H131,2
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,H401,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H571,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H603,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H609,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H612,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,H81,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,H811,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,H811,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,H811,20
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,H813,14
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,H918,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,H920,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,I10,81
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,I10,179
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,I10,166
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,I517,7
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,I519,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,I840,16
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,I842,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,J00,6
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,J00,30
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J019,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J029,71
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,J029,16
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J029,10
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J039,105
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,J039,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J039,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J069,63
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,J069,100
วงศ์สว่างสหคลินิก,เขตบางซื่อ,J069,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J108,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J111,5
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,J111,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,J121,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,J219,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,J301,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J304,48
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,J304,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,J304,9
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J304,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J40,80
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J42,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,J45,10
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J450,3
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,J459,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J459,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,J851,21
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,K021,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,K021,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,K030,2
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,K031,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,K045,25
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,K047,19
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K050,6
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,K051,6
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,K051,7
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,K083,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K120,6
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,K120,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,K1219,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K219,65
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,K219,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K291,7
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,K297,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,K30,31
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K30,16
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,K30,6
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,K35,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K389,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,K521,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,K529,6
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,K922,1
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,L00,6
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L010,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L023,3
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,L028,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,L031,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L039,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,L04,9
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,L043,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,L209,16
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L209,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,L239,91
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L239,3
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L303,4
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L303,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,L309,8
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L309,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,L309,15
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L309,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L404,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,L509,4
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,L600,6
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,L609,5
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,L97,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M0134,2
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M0160,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M059,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M069,6
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M1090,1
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M179,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M1990,2
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M2555,1
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M4790,3
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M480,2
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M545,15
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M545,4
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M620,80
คลินิกเวชกรรมแยกวงศ์สว่าง,เขตบางซื่อ,M626,2
คลินิกเวชกรรมใกล้บ้านใกล้ใจ 22,เขตบางซื่อ,M626,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,M626,20
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M6261,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M6267,6
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M722,1
ประชาชื่นมีสุขคลินิกเวชกรรม,เขตบางซื่อ,M750,5
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M750,10
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M779,1
ประชาราษฎร์อบอุ่นคลินิกเวชกรรม,เขตบางซื่อ,M791,4
ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,เขตบางซื่อ,M7910,3
ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,M7911,1
